ID,name,type
25a45cbb-4689-42a9-ae8a-7c00a27cb38c,汤远铭,0
79bc617a-630f-498f-860d-e803370effb3,郭亚维,2
f65333df-b258-43e1-a18b-a49f0a31700e,吉莹,2
4704e490-4f83-42b5-a5b9-e72b56a461b5,李思娴,2
3d97df0f-6769-4b37-b0cd-442b4a26b6b8,刘红韵,2
c0fc74c5-9481-4ceb-88d1-e9da719e833e,임현태,0
1395340,閔俊贤,2
a52f0278-9b7d-4928-b1dd-cf6e85c495a5,강대호,2
1349991,沈绍麒,0
92b722ad-32ef-43c9-872d-2cd38880e9e6,邢中华,0
28b7cc1c-da48-4114-baa4-398ce3cdbbb7,邢中华,1
25b09b93-8407-4f49-b71a-1c760bd0b8d4,刘飞,2
c20587cb-b267-4dda-aa93-4bfd5b9728fe,郭金刚,2
53a10eb4-fab0-480b-8c5f-c4aa94643104,张震,2
5f71d201-7883-418d-b079-acf3423df093,张添羽,0
1360223,吴荻,2
9d337c5b-2f8d-438b-a6f3-bf45602dc0d4,永山正史 Tadashi Nagayama,0
1807568d-78be-4fbc-9092-e2c580f8b45c,鈴木由理子,1
924537fe-aa63-4e56-beaf-aa5eaea70ef8,永山正史,1
1333338,川濑阳太,2
1054163,津田宽治,2
5e3ceeed-f4e9-4a95-b0ed-98afbc97a72f,Alessandro Genovesi,0
ef911ebd-6186-46a1-b7f8-e754494852c7,Diego Abatantuono,2
08b5459b-b970-4871-868f-28aa59f7f397,Monica Guerritore,2
a487fe0a-61ec-4b96-935a-0b2dada7abf4,Salvatore Esposito,2
bf3cf70f-6cd6-4f2e-954c-7f2a20bfb46f,Cristiano Caccamo,2
fa9c679e-2e66-4abd-8e04-06d27045b822,Dino Abbrescia,2
bf258e99-602c-4570-8d8d-7733b7ae93c5,Diana Del Bufalo,2
dd5d0510-286f-4e81-a2ee-0846d726d332,Beatrice Arnera,2
4001bbea-7eac-47ed-a26b-df3e441f1116,Rosaria D'Urso,2
215d7ee9-fcf3-4476-8613-e73697a965c1,Antonio Catania,2
618cd918-8652-4e13-8a93-47afdc0b6f10,Enzo Miccio,2
1321619,朱林,0
1747197e-9123-4c9e-8ba5-b0ae04c1fb97,雁翎,1
1326226,郭常辉,2
e5ab0a51-2b0b-4f26-b211-bec5e00ee72c,华少瑞明,2
8a6a34fd-1bed-41f4-adce-fc2ef1bee9b7,曾水,2
9366c9cb-d7af-491b-a693-bc26e1804015,Aram Gharibyan,0
a769975b-d64d-4a42-a30f-8337fda03532,翁丁婷,0
7dece1f6-924e-4514-b192-42a4948479b5,钟梓文,1
ef5a3e1c-f61c-4ae8-88ea-b3d5c7edcc81,朱维佳,1
1316825,安琥,2
1318116,刘力扬,2
1330037,郝帅,2
0ed97fe0-7d2d-4a4b-ac5f-e40b18576c39,付柔美琦,2
0ff04a08-6885-4041-9900-9a5e14836617,梁凯威,0
1337493,徐珪莹,1
1319900,邹承恩,2
1316525,孟耿如,2
1372211,叶星辰,2
1364692,颜毓麟,2
1394901,尹俊豪,0
1394900,赵静珠,1
1339428,徐康俊,2
1348994,孔升妍,2
1314635,李俊赫,2
1377898,朴奂喜,2
1217935,金成铃,2
1051029,刘五性,2
1317013,朴英奎,2
1343833,金元海,2
1350259,崔德门,2
1322208,金惠恩,2
1327490,金贤淑,2
1375772,赵载龙,2
1376009,崔秉默,2
1378524,吴熙俊,2
1390643,车烨,2
1375288,吴义植,2
1382527,蔡东炫,2
1389036,车璌河,2
1385176,崔代勋,2
1364188,杰伊·卡拉斯,0
1018107,迪米特利·马丁,1
1018107,迪米特利·马丁,2
0fbfa945-a53f-4ec4-b892-73f95a56c3a8,베타 타카오,0
300adf8f-eca5-458d-b804-f483ac784f90,后亘,0
e6343901-6bd5-4b1f-9a19-237ddb6d22a3,后亘 凝雪翼,1
53ca7927-b2b0-41fc-8a9c-9c2048e26a4f,安康伟 孟娇霞,2
1395969,穆罕默德·萨拉赫,2
1398262,皮得·里达·米切尔,0
