id,name,data,length,alias,language,imdb,star,cnumber,region
30276387,超变战陀,['2018-03-26(中国大陆)'],[],[],['汉语普通话'],[],[''],[],['中国大陆']
30256057,交易：校园情侣 정사 : 캠퍼스 커플,['2018-06-22(韩国)'],['73'],['Business: Campus Couples'],['韩语'],[],['4.4'],['80'],['韩国']
30352543,记忆 記憶,[],['8'],['Black Hole Monster'],[],[],[''],[],['马来西亚']
30231972,铁血飞虎,['2018-05-19(中国大陆)'],['70'],[],['汉语普通话'],[],[''],[],['中国大陆']
30212173,澄书馆 第一季 再说西游,['2018-05-03(中国大陆)'],[],[],['汉语普通话'],[],[''],[],['中国大陆']
30286060,天然生活 天然☆生活,['2018-07-14(加拿大)'],['96'],['Being Natural'],['日语'],['https://www.imdb.com/title/tt8335576'],[''],[],['日本']
30168101,我盛大的意大利同志婚礼 Matrimonio italiano,['2018-03-01(意大利)'],['89'],['MY BIG GAY ITALIAN WEDDING (W.T.) / My Big Gay Italian Wedding / Puoi baciare lo sposo / 結婚哪有那麼男(台)'],['意大利语'],['https://www.imdb.com/title/tt6917290'],['5.8'],['77'],['意大利']
30255238,球王,['2018-06-26(中国大陆)'],[],['足球梦永不言弃'],['汉语普通话'],[],[''],[],['中国大陆']
30359364,不良诱因 Trigger,['2018-10-25(北京电影学院)'],[],[],['亚美尼亚语'],[],[''],[],['亚美尼亚']
27601045,单向街14号,['2018-03-02(中国大陆)'],['85'],[],['汉语普通话'],[],[''],[],['中国大陆']
34781769,前任沙滩见 第八季 Ex on the Beach Season 8,['2018-03-20'],[],[],['英语'],['https://www.imdb.com/title/tt8359920'],[''],[],['英国']
30292767,世界：变性儿童 谁是专家 Transgender Kids: Who Knows Best?,['2018(英国)'],['51'],['如何对待跨性别儿童'],['英语'],['https://www.imdb.com/title/tt6474208'],[''],[],['英国']
30396273,哈喽！有事吗 哈囉！有事嗎,['2018-10-26(中国台湾)'],['97'],['Single Day'],['汉语普通话'],[],[''],[],['中国台湾']
26951618,你也是人类吗? 너도 인간이니?,['2018-06-04(韩国)'],[],['男神机械人(港) / Are You Human Too?'],['韩语'],['https://www.imdb.com/title/tt7817966'],['8.4'],['8978'],['韩国']
30167540,迪米特利·马丁：想太多 Demetri Martin: The Overthinker,['2018-08-10(美国)'],['56'],[],['英语'],['https://www.imdb.com/title/tt7725144'],['7.9'],['142'],['美国']
30423877,朋友的家教妻子 친구 아내는 야한 가정교사,['2018-12-07(韩国)'],['61'],[],['日语'],[],[''],[],['日本 / 韩国']
30135548,成为岛主的男人,['2018-02-04(中国大陆)'],['79'],[],['汉语普通话'],[],[''],[],['中国大陆']
34453867,欧冠半决赛罗马VS利物浦 Semi-Final Rome FC vs Liverpool FC,['2018-05-02(意大利)'],['90'],[],[],['https://www.imdb.com/title/tt10457764'],[''],[],['意大利']
27165968,少年泰坦出击电影版 Teen Titans Go! To the Movies,['2018-07-27(美国)'],['84'],['电影少年悍将GO！(台)'],['英语'],['https://www.imdb.com/title/tt7424200'],['8.2'],['4027'],['美国']
30358052,1803,['2018-07-09(中国大陆)'],[],[],['汉语普通话'],[],[''],[],['中国大陆']
30370906,刀尖舞者,['2018-09-04(中国大陆)'],[],[],['汉语普通话'],[],[''],[],['中国大陆']
30284893,天谕2：苍古之绊,['2018-07-25(中国大陆)'],[],['天谕 第二季：苍古之绊'],['汉语普通话'],[],[''],[],['中国大陆']
33403749,目的地：杜斯伯里 Destination: Dewsbury,"['2018-04-29(Newport Beach International Film Festival)', '2019-03-01(英国)']",['86'],[],['英语'],['https://www.imdb.com/title/tt5275128'],[''],[],['英国']
30132541,漠北三人行,['2018-01-15(中国大陆)'],[],['漠北3人行'],['汉语普通话'],[],[''],[],['中国大陆']
27598384,生死狙击 第三季 Shooter Season 3,['2018-06-21(美国)'],[],[],['英语'],['https://www.imdb.com/title/tt7846292'],['7.0'],['502'],['美国']
30353107,特朗普的摊牌 Trump's Showdown,['2018-10-02(美国)'],['114'],[],[],[],[''],[],['美国']
26948407,高堡奇人 第三季 The Man in the High Castle Season 3,['2018-10-05(美国)'],[],['高城堡里的人'],['英语'],['https://www.imdb.com/title/tt6386614'],['8.4'],['2746'],['美国']
30345771,缺席 Birha,['2018-10(韩国釜山)'],['80'],['Absence'],['北印度语 Hindi / 旁遮普语 Punjabi / 恰蒂斯加尔语 Chhattisgarhi'],[],[''],[],['印度 India']
26683421,特工 공작,"['2018-05-11(戛纳电影节)', '2018-08-08(韩国)']",['137'],['北风(台) / 北寒谍战(港) / 工作 / The Spy Gone North / Gongjak'],['韩语 / 汉语普通话 / 日语'],['https://www.imdb.com/title/tt8290698'],['8.5'],['92819'],['韩国']
27194985,平成细雪 平成細雪,['2018-01-07(日本)'],[],['Heisei Sasameyuki'],['日语'],['https://www.imdb.com/title/tt7857570'],['8.4'],['2191'],['日本']
27186359,吸血鬼仆人 -Alice in the Garden- 劇場版 SERVAMP -サーヴァンプ- Alice in the Garden,['2018-04-07(日本)'],['58'],['剧场版 吸血鬼仆人 Alice in the Garden'],['日语'],[],[''],[],['日本']
27602570,回溯者 Backtrace,['2018-12-14(美国)'],['92'],['回溯'],['英语'],['https://www.imdb.com/title/tt3588588'],['3.6'],['453'],['美国']
30255210,黑象2,[],['14'],['黑象2 - 生来自由'],['汉语普通话'],[],[''],[],['中国大陆']
30283656,索妮 Soni,['2018-09-06(威尼斯电影节)'],['97'],['索妮警官'],['印地语'],['https://www.imdb.com/title/tt6078866'],['6.5'],['401'],['印度']
30125997,济公之英雄归位,['2018-02-16(中国大陆)'],['95'],['济公之捉妖降魔'],['汉语普通话'],[],['3.0'],['1034'],['中国大陆']
30381900,"在许多人中，只有一个 Out of Many, One",['2018-12-12(美国)'],['34'],[],[],['https://www.imdb.com/title/tt9283302'],[''],[],['美国']
27625642,性爱后遗症 第三季 Lovesick Season 3,['2018-01-01(美国)'],[],[],['英语'],['https://www.imdb.com/title/tt7050882'],['7.7'],['182'],['英国']
33418396,2018年偶像明星运动会：中秋特辑 추석특집 2018 아이돌스타 육상 선수권대회,['2018-09-25(韩国)'],[],['第16届偶像明星运动会'],['韩语'],[],[''],[],['韩国']
30263991,紧急救命 特别篇 另一个战场 コード・ブルー 特別編 -もう一つの戦場-,['2018-07-28(日本)'],['105'],[],['日语'],[],['6.4'],['796'],['日本']
30470208,善良的姐妹 착한 자매들,['2018-10-12(韩国)'],['84'],['Good sisters'],['韩语'],[],[''],[],['韩国']
30232260,人生删除事务所 dele ディーリー,['2018-07-27(日本)'],[],[],['日语'],['https://www.imdb.com/title/tt9002012'],['8.5'],['35166'],['日本']
30317962,纪实72小时 海上保安学校 青春グラフィティー ドキュメント72時間「海上保安学校 青春グラフィティー,['2018-09-07(日本)'],[],[],['日语'],[],[''],[],['日本']
